ID_REF,FC,Gene Symbol
232197_x_at,0.19607878296875025,ARSB
209386_at,0.19592863540625016,TM4SF1
209047_at,0.1959183349270841,AQP1
211471_s_at,0.19580399046874852,RAB36
209263_x_at,0.19565306824999684,TSPAN4
1557544_at,0.19563554001041794,CCDC147
1562481_at,0.19562255578124876,
243032_at,0.19556818867707992,
219634_at,0.1955529886041667,CHST11
238428_at,0.195490558895834,KCNJ15
213030_s_at,0.1952652739062497,PLXNA2
210135_s_at,0.19522794566666635,SHOX2
230897_at,0.195223834250001,CCDC30 /// PPCS
236383_at,0.1951415369895848,
202932_at,0.1951221630833322,YES1
205728_at,0.1948797115312484,TENM1
207002_s_at,0.19487088782291728,PLAGL1
205425_at,0.19479978155207966,HIP1
232233_at,0.19467326148958009,SLC22A16
220532_s_at,0.19457086268750068,TMEM176B
232366_at,0.19454162389583018,KIAA0232
213225_at,0.19451211478124897,PPM1B
228707_at,0.19449832104166553,CLDN23
226505_x_at,0.1944069238229158,USP32
218910_at,0.19431163418749886,ANO10
236399_at,0.19428573420833217,RP11-443B7.1
